[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 89] d0=4109173 pm=2234 slots=879975 (1100s)
[cap 90] d0=4125383 pm=1695 slots=879975 (1110s)
[cap 91] d0=4105612 pm=1599 slots=879975 (1120s)
[cap 92] d0=4099049 pm=1591 slots=879975 (1131s)
[cap 93] d0=4109123 pm=1998 slots=879975 (1141s)
[cap 94] d0=4088824 pm=1872 slots=879975 (1151s)
[cap 95] d0=4114908 pm=1747 slots=879975 (1161s)
[cap 96] d0=4109176 pm=1880 slots=879975 (1171s)
[cap 97] d0=4097531 pm=2069 slots=879975 (1182s)
[cap 98] d0=4086041 pm=2592 slots=879975 (1192s)
[cap 99] d0=4103656 pm=1820 slots=879975 (1202s)
[cap 100] d0=4120118 pm=1709 slots=879975 (1212s)
[cap 101] d0=4110058 pm=1621 slots=879975 (1223s)
[cap 102] d0=4092913 pm=1648 slots=879975 (1233s)
[cap 103] d0=4111762 pm=1632 slots=879975 (1243s)
[cap 104] d0=4099031 pm=1544 slots=879975 (1253s)
[cap 105] d0=4080342 pm=1549 slots=879975 (1264s)
[cap 106] d0=4119959 pm=4383 slots=879975 (1274s)
[cap 107] d0=4076686 pm=5069 slots=879975 (1284s)
[cap 108] d0=12777808 pm=2224 slots=336525 (1314s)
[cap 109] d0=4123741 pm=2739 slots=880000 (1363s)
[cap 110] d0=4095105 pm=2152 slots=880000 (1373s)
[cap 111] d0=4101957 pm=2002 slots=880000 (1383s)
[cap 112] d0=4112115 pm=2110 slots=880000 (1394s)
[cap 113] d0=4088356 pm=1950 slots=880000 (1404s)
[cap 114] d0=4118496 pm=1974 slots=880000 (1414s)
[cap 115] d0=4095465 pm=2178 slots=880000 (1424s)
[cap 116] d0=4092266 pm=2007 slots=880000 (1434s)
[cap 117] d0=4109948 pm=2235 slots=880000 (1445s)
[cap 118] d0=4103655 pm=2262 slots=880000 (1455s)
[cap 119] d0=4115322 pm=1991 slots=880000 (1465s)
[cap 120] d0=4112470 pm=2118 slots=880000 (1475s)
[cap 121] d0=4098249 pm=2163 slots=880000 (1485s)
[cap 122] d0=4128233 pm=2091 slots=880000 (1496s)
[cap 123] d0=4110295 pm=2094 slots=880000 (1506s)
[cap 124] d0=4127377 pm=2159 slots=880000 (1516s)
[cap 125] d0=4087467 pm=2044 slots=880000 (1526s)
[cap 126] d0=4132859 pm=1961 slots=880000 (1536s)
[cap 127] d0=4093606 pm=1888 slots=880000 (1547s)
[cap 128] d0=4128582 pm=2095 slots=880000 (1557s)
[cap 129] d0=4088607 pm=1936 slots=880000 (1567s)
[cap 130] d0=4098445 pm=1993 slots=880000 (1577s)
[cap 131] d0=4095830 pm=2145 slots=880000 (1587s)
[cap 132] d0=4105808 pm=1968 slots=880000 (1598s)
[cap 133] d0=4091953 pm=2138 slots=880000 (1608s)
[cap 134] d0=4119433 pm=2399 slots=880000 (1618s)
[cap 135] d0=4112131 pm=2099 slots=880000 (1628s)
[cap 136] d0=4078660 pm=2105 slots=880000 (1639s)
[cap 137] d0=4093913 pm=1941 slots=880000 (1649s)
[cap 138] d0=4096454 pm=2102 slots=880000 (1659s)
