[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 89] d0=4119203 pm=2756 slots=879975 (1089s)
[cap 90] d0=4131959 pm=2983 slots=879975 (1099s)
[cap 91] d0=4085280 pm=3016 slots=879975 (1110s)
[cap 92] d0=4126454 pm=1394 slots=879975 (1120s)
[cap 93] d0=4105829 pm=1467 slots=879975 (1130s)
[cap 94] d0=4122284 pm=1615 slots=879975 (1141s)
[cap 95] d0=4107507 pm=1690 slots=879975 (1151s)
[cap 96] d0=4095508 pm=1790 slots=879975 (1161s)
[cap 97] d0=4115922 pm=9053 slots=879975 (1172s)
[cap 98] d0=4095649 pm=10163 slots=879975 (1182s)
[cap 99] d0=4124438 pm=2445 slots=879975 (1192s)
[cap 100] d0=4110055 pm=1820 slots=879975 (1202s)
[cap 101] d0=4103038 pm=1522 slots=879975 (1213s)
[cap 102] d0=4123606 pm=1895 slots=879975 (1223s)
[cap 103] d0=4108637 pm=1962 slots=879975 (1233s)
[cap 104] d0=4094520 pm=1666 slots=879975 (1243s)
[cap 105] d0=4092945 pm=1798 slots=879975 (1254s)
[cap 106] d0=4110640 pm=1651 slots=879975 (1264s)
[cap 107] d0=4107680 pm=1487 slots=879975 (1274s)
[cap 108] d0=5797439 pm=2445 slots=336525 (1303s)
[cap 109] d0=4125834 pm=2569 slots=880000 (1352s)
[cap 110] d0=4095103 pm=2091 slots=880000 (1362s)
[cap 111] d0=4123068 pm=2073 slots=880000 (1372s)
[cap 112] d0=4115558 pm=2009 slots=880000 (1382s)
[cap 113] d0=4123836 pm=1781 slots=880000 (1393s)
[cap 114] d0=4122254 pm=2025 slots=880000 (1403s)
[cap 115] d0=4122263 pm=2290 slots=880000 (1413s)
[cap 116] d0=4120636 pm=2032 slots=880000 (1423s)
[cap 117] d0=4123203 pm=2181 slots=880000 (1433s)
[cap 118] d0=4086088 pm=2172 slots=880000 (1444s)
[cap 119] d0=4112024 pm=2000 slots=880000 (1454s)
[cap 120] d0=4079695 pm=1926 slots=880000 (1464s)
[cap 121] d0=4101752 pm=1970 slots=880000 (1474s)
[cap 122] d0=4119222 pm=2126 slots=880000 (1485s)
[cap 123] d0=4105548 pm=2101 slots=880000 (1495s)
[cap 124] d0=4131099 pm=2177 slots=880000 (1505s)
