[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 122] d0=4083510 pm=2007 slots=880000 (1446s)
[cap 123] d0=4102708 pm=1972 slots=880000 (1456s)
Ousrp_source :error: In the last 32174 ms, 1 overflows occurred.
[cap 124] d0=4112401 pm=2208 slots=880000 (1467s)
[cap 125] d0=4130247 pm=2167 slots=880000 (1477s)
[cap 126] d0=4122125 pm=2055 slots=880000 (1488s)
[cap 127] d0=4081726 pm=2035 slots=880000 (1498s)
[cap 128] d0=4128285 pm=2056 slots=880000 (1508s)
[cap 129] d0=4096700 pm=1928 slots=880000 (1518s)
[cap 130] d0=4125754 pm=2035 slots=880000 (1529s)
[cap 131] d0=4105926 pm=2146 slots=880000 (1539s)
[cap 132] d0=4126640 pm=1997 slots=880000 (1549s)
[cap 133] d0=4112531 pm=2141 slots=880000 (1559s)
[cap 134] d0=4116057 pm=2244 slots=880000 (1569s)
[cap 135] d0=4092877 pm=2011 slots=880000 (1580s)
[cap 136] d0=4110390 pm=2018 slots=880000 (1590s)
[cap 137] d0=4097334 pm=2009 slots=880000 (1600s)
[cap 138] d0=4131688 pm=2201 slots=880000 (1610s)
[cap 139] d0=4093316 pm=2122 slots=880000 (1621s)
[cap 140] d0=4089243 pm=2231 slots=880000 (1631s)
[cap 141] d0=4106062 pm=2177 slots=880000 (1641s)
[cap 142] d0=4099053 pm=2128 slots=880000 (1651s)
[cap 143] d0=4100472 pm=1918 slots=880000 (1661s)
[cap 144] d0=4088536 pm=2119 slots=880000 (1672s)
[cap 145] d0=4124793 pm=2022 slots=880000 (1682s)
[cap 146] d0=4121415 pm=2111 slots=880000 (1692s)
[cap 147] d0=4082381 pm=2168 slots=880000 (1702s)
[cap 148] d0=4127980 pm=2227 slots=880000 (1712s)
[cap 149] d0=4100166 pm=2269 slots=880000 (1722s)
[cap 150] d0=4113062 pm=2247 slots=880000 (1733s)
[cap 151] d0=4132888 pm=2005 slots=880000 (1743s)
[cap 152] d0=4104812 pm=1945 slots=880000 (1753s)
[cap 153] d0=4124290 pm=1927 slots=880000 (1763s)
[cap 154] d0=4094555 pm=1990 slots=880000 (1773s)
[cap 155] d0=4108154 pm=2208 slots=880000 (1784s)
[cap 156] d0=4098456 pm=2239 slots=880000 (1794s)
[cap 157] d0=4098307 pm=2170 slots=880000 (1804s)
[cap 158] d0=4090931 pm=2046 slots=880000 (1814s)
[cap 159] d0=4112412 pm=2035 slots=880000 (1825s)
[cap 160] d0=4122935 pm=2069 slots=880000 (1835s)
[cap 161] d0=4089315 pm=2009 slots=880000 (1845s)
[cap 162] d0=4137735 pm=1904 slots=880000 (1855s)
[cap 163] d0=4118233 pm=2128 slots=880000 (1866s)
[cap 164] d0=4119842 pm=1937 slots=880000 (1876s)
[cap 165] d0=4099594 pm=2102 slots=880000 (1886s)
[cap 166] d0=4100894 pm=2167 slots=880000 (1896s)
[cap 167] d0=6780839 pm=2476 slots=160000 (1907s)
[cap 168] d0=4127678 pm=3022 slots=880000 (1956s)
[cap 169] d0=4128008 pm=2460 slots=880000 (1966s)
[cap 170] d0=3647438 pm=3178 slots=288000 (1982s)
[cap 171] d0=2589618 pm=2018 slots=55040 (1989s)
[run clean] 10/150: running acc 10.00 (1989s)
[cap 172] d0=4090003 pm=2169 slots=879975 (2037s)
[cap 173] d0=4084268 pm=1842 slots=879975 (2047s)
[cap 174] d0=4120275 pm=1689 slots=879975 (2058s)
[cap 175] d0=4082855 pm=1550 slots=879975 (2068s)
[cap 176] d0=4082509 pm=1778 slots=879975 (2078s)
[cap 177] d0=4099862 pm=1490 slots=879975 (2088s)
[cap 178] d0=4080360 pm=1378 slots=879975 (2099s)
[cap 179] d0=4078834 pm=2004 slots=879975 (2109s)
[cap 180] d0=4117386 pm=1530 slots=879975 (2120s)
[cap 181] d0=4126231 pm=1678 slots=879975 (2130s)
[cap 182] d0=4102620 pm=1851 slots=879975 (2140s)
[cap 183] d0=4118495 pm=1880 slots=879975 (2150s)
[cap 184] d0=4113331 pm=1729 slots=879975 (2160s)
[cap 185] d0=4082272 pm=1896 slots=879975 (2171s)
[cap 186] d0=4104126 pm=2012 slots=879975 (2181s)
[cap 187] d0=4093016 pm=1778 slots=879975 (2191s)
[cap 188] d0=4100895 pm=1640 slots=879975 (2201s)
[cap 189] d0=4111172 pm=1609 slots=879975 (2212s)
[cap 190] d0=4105025 pm=2028 slots=879975 (2222s)
[cap 191] d0=4125958 pm=2458 slots=879975 (2232s)
[cap 192] d0=4093201 pm=2732 slots=879975 (2242s)
[cap 193] d0=3883873 pm=2030 slots=336525 (2271s)
[cap 194] d0=4093577 pm=2646 slots=880000 (2320s)
[cap 195] d0=4101162 pm=2033 slots=880000 (2331s)
[cap 196] d0=4098546 pm=1934 slots=880000 (2341s)
[cap 197] d0=4121783 pm=2092 slots=880000 (2351s)
[cap 198] d0=4082271 pm=1894 slots=880000 (2361s)
[cap 199] d0=4134077 pm=2041 slots=880000 (2372s)
[cap 200] d0=4105309 pm=2284 slots=880000 (2382s)
[cap 201] d0=4124229 pm=2061 slots=880000 (2392s)
[cap 202] d0=4122587 pm=2432 slots=880000 (2402s)
[cap 203] d0=4095899 pm=2430 slots=880000 (2413s)
[cap 204] d0=4109471 pm=2009 slots=880000 (2423s)
[cap 205] d0=4133305 pm=2119 slots=880000 (2433s)
[cap 206] d0=4129683 pm=2116 slots=880000 (2443s)
[cap 207] d0=4102639 pm=1962 slots=880000 (2454s)
[cap 208] d0=4118382 pm=2011 slots=880000 (2464s)
[cap 209] d0=4098724 pm=2175 slots=880000 (2474s)
[cap 210] d0=4106382 pm=2174 slots=880000 (2484s)
[cap 211] d0=4084116 pm=2228 slots=880000 (2494s)
[cap 212] d0=4097818 pm=2123 slots=880000 (2505s)
[cap 213] d0=4111558 pm=2054 slots=880000 (2515s)
[cap 214] d0=4108662 pm=2056 slots=880000 (2525s)
[cap 215] d0=4102148 pm=2222 slots=880000 (2535s)
[cap 216] d0=4119559 pm=2139 slots=880000 (2545s)
[cap 217] d0=4090495 pm=2019 slots=880000 (2556s)
[cap 218] d0=4119410 pm=2041 slots=880000 (2566s)
[cap 219] d0=4133684 pm=2202 slots=880000 (2576s)
[cap 220] d0=4082731 pm=1951 slots=880000 (2586s)
[cap 221] d0=4128499 pm=2074 slots=880000 (2597s)
[cap 222] d0=4093760 pm=2001 slots=880000 (2607s)
[cap 223] d0=4117580 pm=2191 slots=880000 (2617s)
[cap 224] d0=4102843 pm=2333 slots=880000 (2627s)
[cap 225] d0=4091687 pm=2458 slots=880000 (2638s)
[cap 226] d0=4114319 pm=2499 slots=880000 (2648s)
[cap 227] d0=4112194 pm=2242 slots=880000 (2658s)
[cap 228] d0=4120100 pm=1904 slots=880000 (2668s)
[cap 229] d0=4087692 pm=2060 slots=880000 (2678s)
[cap 230] d0=4102091 pm=1801 slots=880000 (2688s)
[cap 231] d0=4103917 pm=2008 slots=880000 (2699s)
[cap 232] d0=4125711 pm=2072 slots=880000 (2709s)
[cap 233] d0=4125539 pm=1937 slots=880000 (2719s)
[cap 234] d0=4138644 pm=2165 slots=880000 (2729s)
