[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cap 89] d0=4094263 pm=1991 slots=879975 (1091s)
[cap 90] d0=4082605 pm=1477 slots=879975 (1102s)
[cap 91] d0=4125239 pm=1123 slots=879975 (1112s)
[cap 92] d0=4117029 pm=1392 slots=879975 (1122s)
[cap 93] d0=4101257 pm=1705 slots=879975 (1132s)
[cap 94] d0=4122059 pm=1710 slots=879975 (1143s)
[cap 95] d0=4110826 pm=1717 slots=879975 (1153s)
[cap 96] d0=4136001 pm=1681 slots=879975 (1163s)
[cap 97] d0=4095845 pm=1767 slots=879975 (1173s)
[cap 98] d0=4087617 pm=2294 slots=879975 (1184s)
[cap 99] d0=4114860 pm=1613 slots=879975 (1194s)
[cap 100] d0=4120351 pm=1520 slots=879975 (1204s)
[cap 101] d0=4110468 pm=1471 slots=879975 (1214s)
[cap 102] d0=4093065 pm=1490 slots=879975 (1225s)
[cap 103] d0=4090379 pm=1402 slots=879975 (1235s)
[cap 104] d0=4107830 pm=1375 slots=879975 (1245s)
[cap 105] d0=4131645 pm=1369 slots=879975 (1255s)
[cap 106] d0=4097292 pm=1261 slots=879975 (1265s)
[cap 107] d0=4086517 pm=3551 slots=879975 (1276s)
[cap 108] d0=4589534 pm=2075 slots=336525 (1305s)
[cap 109] d0=4105478 pm=2835 slots=880000 (1354s)
[cap 110] d0=4091040 pm=2227 slots=880000 (1364s)
[cap 111] d0=4106370 pm=2109 slots=880000 (1374s)
[cap 112] d0=4102166 pm=2144 slots=880000 (1384s)
[cap 113] d0=4088731 pm=2015 slots=880000 (1395s)
[cap 114] d0=4096701 pm=1771 slots=880000 (1405s)
[cap 115] d0=4116887 pm=1978 slots=880000 (1415s)
[cap 116] d0=4094435 pm=2032 slots=880000 (1425s)
[cap 117] d0=4127443 pm=1932 slots=880000 (1435s)
[cap 118] d0=4080432 pm=1953 slots=880000 (1446s)
[cap 119] d0=4107149 pm=2062 slots=880000 (1456s)
[cap 120] d0=4093126 pm=1942 slots=880000 (1466s)
[cap 121] d0=4118334 pm=1938 slots=880000 (1476s)
[cap 122] d0=4092166 pm=1898 slots=880000 (1487s)
[cap 123] d0=4104824 pm=1941 slots=880000 (1497s)
[cap 124] d0=4119049 pm=1942 slots=880000 (1507s)
[cap 125] d0=4094738 pm=2229 slots=880000 (1518s)
[cap 126] d0=4100486 pm=2108 slots=880000 (1528s)
[cap 127] d0=4108393 pm=1908 slots=880000 (1538s)
[cap 128] d0=4090586 pm=1926 slots=880000 (1548s)
[cap 129] d0=4130002 pm=1854 slots=880000 (1558s)
[cap 130] d0=4119103 pm=1751 slots=880000 (1569s)
[cap 131] d0=4105424 pm=1935 slots=880000 (1579s)
[cap 132] d0=4092638 pm=1972 slots=880000 (1589s)
[cap 133] d0=4106786 pm=2046 slots=880000 (1599s)
[cap 134] d0=4118702 pm=2402 slots=880000 (1610s)
[cap 135] d0=4095099 pm=2426 slots=880000 (1620s)
[cap 136] d0=4111008 pm=1901 slots=880000 (1630s)
[cap 137] d0=4099650 pm=1843 slots=880000 (1640s)
[cap 138] d0=4090775 pm=1988 slots=880000 (1650s)
[cap 139] d0=4090543 pm=2350 slots=880000 (1660s)
[cap 140] d0=4124831 pm=1804 slots=880000 (1671s)
[cap 141] d0=4114795 pm=2085 slots=880000 (1681s)
[cap 142] d0=4097304 pm=1803 slots=880000 (1691s)
[cap 143] d0=4106337 pm=1749 slots=880000 (1701s)
[cap 144] d0=4096284 pm=1888 slots=880000 (1711s)
[cap 145] d0=4112797 pm=1827 slots=880000 (1722s)
[cap 146] d0=4117122 pm=1717 slots=880000 (1732s)
[cap 147] d0=4119236 pm=1912 slots=880000 (1742s)
[cap 148] d0=4134484 pm=1910 slots=880000 (1752s)
[cap 149] d0=4107727 pm=1986 slots=880000 (1763s)
[cap 150] d0=4093329 pm=2115 slots=880000 (1773s)
[cap 151] d0=4136142 pm=2410 slots=880000 (1783s)
[cap 152] d0=4081270 pm=2126 slots=880000 (1793s)
[cap 153] d0=4115559 pm=2396 slots=880000 (1803s)
[cap 154] d0=4098134 pm=2323 slots=880000 (1813s)
[cap 155] d0=4090755 pm=2203 slots=880000 (1824s)
[cap 156] d0=4111720 pm=2177 slots=880000 (1834s)
[cap 157] d0=4125319 pm=2160 slots=880000 (1844s)
[cap 158] d0=4116385 pm=2069 slots=880000 (1854s)
[cap 159] d0=4120387 pm=2230 slots=880000 (1864s)
[cap 160] d0=4128675 pm=2336 slots=880000 (1874s)
[cap 161] d0=4088777 pm=1929 slots=880000 (1885s)
[cap 162] d0=4080530 pm=2516 slots=880000 (1895s)
[cap 163] d0=4088238 pm=2041 slots=880000 (1905s)
[cap 164] d0=4136030 pm=1839 slots=880000 (1915s)
[cap 165] d0=4091685 pm=1957 slots=880000 (1926s)
[cap 166] d0=4083796 pm=2144 slots=880000 (1936s)
[cap 167] d0=1597289 pm=2444 slots=160000 (1946s)
[cap 168] d0=4122514 pm=2987 slots=880000 (1994s)
[cap 169] d0=4106312 pm=2375 slots=880000 (2005s)
[cap 170] d0=3618877 pm=4073 slots=288000 (2021s)
[cap 171] d0=2598389 pm=2602 slots=55040 (2027s)
[run twin] 20/300: running acc 100.00 (2027s)
[cap 172] d0=4118021 pm=2415 slots=879975 (2075s)
[cap 173] d0=4086449 pm=1893 slots=879975 (2085s)
[cap 174] d0=4106353 pm=1609 slots=879975 (2095s)
[cap 175] d0=4114800 pm=1357 slots=879975 (2106s)
[cap 176] d0=4122781 pm=1343 slots=879975 (2116s)
[cap 177] d0=4119478 pm=1349 slots=879975 (2126s)
[cap 178] d0=4112938 pm=1252 slots=879975 (2136s)
[cap 179] d0=4086517 pm=1471 slots=879975 (2146s)
[cap 180] d0=4106682 pm=2151 slots=879975 (2157s)
[cap 181] d0=4094928 pm=1982 slots=879975 (2167s)
[cap 182] d0=4117945 pm=1434 slots=879975 (2177s)
[cap 183] d0=4128126 pm=1297 slots=879975 (2187s)
[cap 184] d0=4128634 pm=1405 slots=879975 (2197s)
[cap 185] d0=4090984 pm=1757 slots=879975 (2208s)
[cap 186] d0=4081183 pm=1365 slots=879975 (2218s)
[cap 187] d0=4117171 pm=1819 slots=879975 (2228s)
[cap 188] d0=4118141 pm=1606 slots=879975 (2238s)
[cap 189] d0=4075578 pm=1726 slots=879975 (2248s)
[cap 190] d0=4134538 pm=5106 slots=879975 (2259s)
[cap 191] d0=4091458 pm=4141 slots=879975 (2269s)
[cap 192] d0=4112006 pm=1661 slots=879975 (2279s)
[cap 193] d0=6375474 pm=2252 slots=336525 (2308s)
[cap 194] d0=4114032 pm=2461 slots=880000 (2357s)
[cap 195] d0=4093549 pm=1967 slots=880000 (2367s)
[cap 196] d0=4099701 pm=1786 slots=880000 (2377s)
[cap 197] d0=4089017 pm=1916 slots=880000 (2387s)
[cap 198] d0=4090862 pm=2247 slots=880000 (2397s)
[cap 199] d0=4085668 pm=1870 slots=880000 (2408s)
[cap 200] d0=4121699 pm=2008 slots=880000 (2418s)
