[INFO] [UHD] linux; GNU C++ version 11.4.0; Boost_107400; UHD_4.10.0.0-0ubuntu1~jammy1
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[INFO] [X300] X300 initialization sequence...
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Maximum frame size: 8000 bytes.
[INFO] [X300] Radio 1x clock: 200 MHz
[WARNING] [RFNOC::GRAPH] One or more blocks timed out during flush!
[WARNING] [0/Radio#1] Attempting to set tick rate to 0. Skipping.
[WARNING] [0/Radio#0] Attempting to set tick rate to 0. Skipping.
D[rig-check] own session claim honored (token match): ['/home/miwen/miwen_hwrun_20260802/IN_USE']
[rig-check] rig appears free (no UHD/experiment processes, no claim files).
[gr] RX ref_locked=True (10 MHz 外参)
[cal twin] L3: n=10 g=0.0000 relRMSE(|Y|)=0.021 (1288s)
[cap 86] d0=827652 pm=2510 slots=55040 (1294s)
[cal twin] L4: n=10 g=0.0000 relRMSE(|Y|)=0.162 (1294s)
[cap 87] d0=4102256 pm=2321 slots=879975 (1343s)
[cap 88] d0=4126596 pm=2031 slots=879975 (1353s)
[cap 89] d0=4087339 pm=1664 slots=879975 (1363s)
[cap 90] d0=4106073 pm=1523 slots=879975 (1374s)
[cap 91] d0=4123680 pm=1394 slots=879975 (1384s)
[cap 92] d0=4081793 pm=1362 slots=879975 (1394s)
[cap 93] d0=4111575 pm=1532 slots=879975 (1404s)
[cap 94] d0=4102477 pm=1625 slots=879975 (1414s)
[cap 95] d0=4132208 pm=1309 slots=879975 (1425s)
[cap 96] d0=4087206 pm=1416 slots=879975 (1435s)
[cap 97] d0=4124759 pm=1793 slots=879975 (1445s)
[cap 98] d0=4130061 pm=1536 slots=879975 (1455s)
[cap 99] d0=4101966 pm=1322 slots=879975 (1465s)
[cap 100] d0=4113665 pm=1773 slots=879975 (1476s)
[cap 101] d0=4115608 pm=1701 slots=879975 (1486s)
[cap 102] d0=4123000 pm=1553 slots=879975 (1496s)
[cap 103] d0=4128374 pm=1625 slots=879975 (1506s)
[cap 104] d0=4099239 pm=1574 slots=879975 (1516s)
[cap 105] d0=4087363 pm=1499 slots=879975 (1527s)
[cap 106] d0=4199214 pm=2174 slots=879975 (1568s)
[cap 107] d0=4101972 pm=1921 slots=879975 (1609s)
[cap 108] d0=6118135 pm=2408 slots=336525 (1638s)
[cap 109] d0=4095863 pm=2550 slots=880000 (1687s)
[cap 110] d0=4107136 pm=1958 slots=880000 (1697s)
[cap 111] d0=4097615 pm=1748 slots=880000 (1708s)
[cap 112] d0=4118335 pm=1897 slots=880000 (1718s)
[cap 113] d0=4111329 pm=1970 slots=880000 (1728s)
[cap 114] d0=4086860 pm=2073 slots=880000 (1738s)
[cap 115] d0=4117609 pm=1972 slots=880000 (1749s)
[cap 116] d0=4096948 pm=1907 slots=880000 (1759s)
[cap 117] d0=4132287 pm=1903 slots=880000 (1769s)
[cap 118] d0=4092087 pm=1878 slots=880000 (1779s)
[cap 119] d0=4101184 pm=2013 slots=880000 (1789s)
[cap 120] d0=4123192 pm=1885 slots=880000 (1800s)
[cap 121] d0=4108104 pm=1917 slots=880000 (1810s)
[cap 122] d0=4131038 pm=1902 slots=880000 (1820s)
[cap 123] d0=4123668 pm=1945 slots=880000 (1830s)
[cap 124] d0=4086702 pm=2083 slots=880000 (1840s)
[cap 125] d0=4088016 pm=2162 slots=880000 (1851s)
[cap 126] d0=4120356 pm=2360 slots=880000 (1861s)
[cap 127] d0=4103038 pm=2089 slots=880000 (1871s)
[cap 128] d0=4122517 pm=2076 slots=880000 (1881s)
[cap 129] d0=4094748 pm=1952 slots=880000 (1892s)
[cap 130] d0=4094164 pm=1899 slots=880000 (1902s)
[cap 131] d0=4101504 pm=1935 slots=880000 (1912s)
[cap 132] d0=4119230 pm=1865 slots=880000 (1922s)
[cap 133] d0=4118893 pm=1727 slots=880000 (1933s)
[cap 134] d0=4098899 pm=1835 slots=880000 (1943s)
[cap 135] d0=4112977 pm=2155 slots=880000 (1953s)
[cap 136] d0=4102838 pm=1690 slots=880000 (1963s)
[cap 137] d0=4132116 pm=1913 slots=880000 (1973s)
[cap 138] d0=4116290 pm=2199 slots=880000 (1984s)
[cap 139] d0=4093684 pm=2468 slots=880000 (1994s)
[cap 140] d0=4080931 pm=2047 slots=880000 (2004s)
[cap 141] d0=4108670 pm=2173 slots=880000 (2014s)
